,Genotype,Incubation.Temp,Incubation.Temp:Genotype,Residuals
known:OW982298.1_24281,0.565664837932092,0.128575918396336,0.195862880424101,0.10989636324747
known:OW982298.1_24282,0.5251200671906,0.111460882848632,0.230767097159356,0.132651952801412
novel:OW982298.1_24345,0.114251261834951,0.121887196052524,0,0.763861542112525
novel:OW982298.1_24470,1.07619941584087e-06,0.212957310797034,0,0.78704161300355
known:OW982298.1_23371,0,0,0,1
known:OW982298.1_24494,0,0.847491399437177,0.0189252629657127,0.133583337597111
known:OW982298.1_23475,0.146964482009492,0.682946151429174,0,0.170089366561335
known:OW982298.1_23583,0,0,0,1
known:OW982299.1_26062,0,0.344966660088008,0.0258568835909378,0.629176456321054
known:OW982299.1_25336,0,0.663206126665337,0,0.336793873334663
novel:OW982299.1_26240,0.136424140728117,0.683479176260524,6.77616545938821e-10,0.180096682333743
known:OW982300.1_28198,0.250640487112338,0.3804606688918,0.00782232241811236,0.361076521577749
known:OW982300.1_27483,0.0279761336778903,0.394564064149778,0.0160172585769241,0.561442543595407
known:OW982300.1_28199,0.205133657967023,0.395817851367891,0,0.399048490665086
known:OW982300.1_28277,0,0.653882997555666,0,0.346117002444334
known:OW982300.1_28279,0.14080931589965,0.415089929594848,0,0.444100754505503
known:OW982300.1_28718,0,0,0,1
novel:OW982300.1_27993,0,0.664017863562558,0,0.335982136437442
novel:OW982301.1_28870,0,0,0,1
known:OW982301.1_29999,0.105358102921559,0,0,0.894641897078441
known:OW982301.1_30000,0.0203817126334764,0,0,0.979618287366524
known:OW982301.1_30001,0.113929644480427,0.617894464310951,0,0.268175891208622
known:OW982302.1_30791,0,0.354605520945364,0.0351401468666723,0.610254332187963
novel:OW982302.1_30840,0,0.560825547754987,0,0.439174452245013
known:OW982302.1_30394,0.00597837692172563,0.744634238653499,0,0.249387384424775
known:OW982302.1_31021,1.59712735795421e-08,0.153841479293731,0.086298963311983,0.759859541423012
known:OW982302.1_30549,0.234968100069645,0.280576892974199,0.0553024646784854,0.429152542277671
novel:OW982303.1_32745,0,0,0.669850495243484,0.330149504756516
known:OW982303.1_32813,1.25114377311934e-09,0.129055267454459,0.0924512268741211,0.778493504420276
known:OW982303.1_32815,0.345002311219048,0,0.090324085574617,0.564673603206335
novel:OW982303.1_32885,1.74897772993262e-10,0.116974007800804,0.0207916205642535,0.862234371460044
known:OW982303.1_32887,0,0,0,1
known:OW982303.1_32888,0,2.06891781032187e-09,0,0.999999997931082
known:OW982303.1_32889,0,0,0,1
known:OW982303.1_32504,0.0290742608605847,0,0,0.970925739139415
known:OW982303.1_32506,0,0.166040973327887,0.126231840800958,0.707727185871155
novel:OW982303.1_32508,0.27111532954388,0,0,0.72888467045612
novel:OW982303.1_33145,0.399227578022405,0,0,0.600772421977595
known:OW982304.1_31272,0,0,0.780966464999438,0.219033535000562
known:OW982304.1_31734,0,0.0577143246298517,0.29005637549034,0.652229299879808
novel:OW982304.1_31742,0,0.502910910146989,0,0.497089089853011
novel:OW982305.1_26408,0.306148299045953,0.414358380203925,0,0.279493320750122
known:OW982305.1_26500,0,0.541201936500151,0,0.458798063499849
known:OW982305.1_26994,0.184321356805085,0.221226615290982,0,0.594452027903933
known:OW982305.1_26995,0,0,0,1
known:OW982305.1_26998,0.114976100448336,0.123208461540651,0,0.761815438011013
known:OW982305.1_26999,0.108940304062062,0.0905101186029545,0,0.800549577334984
known:OW982305.1_27002,0,0.830965005850747,0,0.169034994149253
known:OW982305.1_27003,0,0.0168713189237428,0,0.983128681076257
known:OW982305.1_27007,0,0,0,1
known:OW982306.1_33257,0.00883969255945631,0.48830710131178,0,0.502853206128763
known:OW982306.1_33979,0.0842045365220037,0,0,0.915795463477996
known:OW982306.1_33980,0.0842045365220037,0,0,0.915795463477996
known:OW982306.1_33991,0.255159415441748,0.564972869578019,0,0.179867714980233
known:OW982306.1_33992,0.253772457459719,0.564125149320957,0,0.182102393219324
novel:OW982306.1_33995,0,0,0,1
known:OW982306.1_33997,0.626571762105767,0.133489726848759,0.0795232180773452,0.160415292968129
known:OW982306.1_34000,0.593685007794834,0.254265313662198,0,0.152049678542967
known:OW982306.1_34006,0.124544999531278,0.747953705505041,0,0.127501294963681
novel:OW982306.1_34052,0,0.00523190645221521,0.151780812511332,0.842987281036453
novel:OW982306.1_33361,0,0,0.453900234762289,0.546099765237711
known:OW982307.1_34333,0,0,0,1
novel:OW982307.1_34911,0,0.576338809421574,0,0.423661190578426
known:OW982307.1_35049,0,0.140468863996261,0,0.859531136003739
novel:OW982307.1_34694,0,0.769895643432337,0.191999924995301,0.038104431572362
known:OW982308.1_38879,0.0725061659962518,0.760170925191864,0.112627192923758,0.0546957158881257
known:OW982308.1_38882,0.0940925902544888,0.42792200373868,0.336165994261346,0.141819411745484
known:OW982308.1_38897,0,0.478999102067789,0,0.521000897932211
novel:OW982308.1_39397,0.242835825718679,0.415285759576026,0,0.341878414705295
known:OW982309.1_35784,0,0,0,1
known:OW982309.1_35786,0.00351776041995758,0,0,0.996482239580042
known:OW982309.1_35790,0.0184232086009678,0,0.00657427260219509,0.975002518796837
known:OW982309.1_35792,0,0.0906673631721793,0,0.909332636827821
known:OW982309.1_35350,0,0,0,1
known:OW982309.1_35362,0,0.553110793861101,0.316622952444084,0.130266253694815
known:OW982309.1_35397,0.199726052874572,0.0233129130526985,0.0999059852731565,0.677055048799573
novel:OW982310.1_37256,0.262723487402098,0,0,0.737276512597902
known:OW982310.1_37730,0.239400111751033,0,0.341296308108267,0.4193035801407
known:OW982310.1_37733,0,0.161329277722092,0,0.838670722277908
known:OW982311.1_36363,0.29564773437565,0.382360759229288,0,0.321991506395061
known:OW982311.1_36874,0,0,0.385358871994893,0.614641128005107
known:OW982311.1_36384,0.0295766873123355,0.400463510726614,0,0.56995980196105
known:OW982311.1_36985,0,0.048909716942934,0,0.951090283057066
known:OW982311.1_36636,0.143681950275539,0.434250730565245,0,0.422067319159216
