miRNA.ID,logCPM,logFC.38vs33,F.38vs33,PValue.38vs33,FDR.38vs33,logFC.43vs38,F.43vs38,PValue.43vs38,FDR.43vs38,logFC.43vs33,F.43vs33,PValue.43vs33,FDR.43vs33
known:OW982306.1_33992,9.99799538325378,-0.278202913781957,2.22814199924352,0.157886593162504,0.400729553201299,-0.534853820998275,13.9947631706372,0.00222104943000388,0.0193011208228667,-0.813056734780232,19.026747946877,0.00066292960556881,0.00375466487591523
known:OW982306.1_33997,12.5876337851129,0.0905991325004119,0.233846140325237,0.636223274196239,0.844934208324614,-0.12184752426625,0.763924933109967,0.396968047035286,0.607787235856285,-0.0312483917658378,0.0294697585701858,0.866175550701424,0.909326506688116
known:OW982306.1_34000,13.7056451514469,-0.0455645152035432,0.0387907947512611,0.84671741245262,0.948111162924667,0.0316977660547616,0.0335919989552307,0.857226665003066,0.944838780428932,-0.0138667491487815,0.0037736186432554,0.951892374364315,0.962547886017647
known:OW982306.1_34006,6.55583043228869,-1.4307124324256,10.6054442271611,0.00579063230672717,0.0581207909304838,-1.0473821059737,6.5352608664136,0.0229452528583786,0.0956640542249322,-2.4780945383993,26.2932749041413,0.00015767783119612,0.00156899593121794
known:OW982307.1_34333,6.28347580500193,-0.13593782336611,0.0800414248703627,0.781415090889623,0.913569405695632,-0.109714879150251,0.0911701090590149,0.767169917510443,0.903926294110131,-0.245652702516361,0.262404514418726,0.616523485173522,0.725076219741702
known:OW982307.1_35049,8.55955613639646,-0.153927998273551,0.435440786512207,0.52012721311189,0.766056928007186,0.0587253218166714,0.111707048443555,0.743203384904256,0.879875755661733,-0.0952026764568795,0.170492349497246,0.685979692932598,0.784390281792126
known:OW982308.1_38879,7.95268202548975,0.881586177369312,8.19733531409572,0.0126064218783301,0.0945153953394698,1.12013242769379,29.3402828948372,9.34872764340738e-05,0.00343867818726979,2.00171860506311,44.3150197912255,1.12944567368847e-05,0.000382599721961969
known:OW982308.1_38882,4.36468137079649,-1.96521349949455,3.06638053593504,0.101975628525024,0.30705994811424,1.61731956325878,3.36804295765427,0.0879803900589291,0.220765608388609,-0.347893936235769,0.1366272582796,0.717233461802397,0.806515635470745
known:OW982308.1_38897,5.90970159632695,-1.6433785552435,13.827808816714,0.00232118073815047,0.0318353490556258,-1.21192691197366,9.94206730288179,0.00710888430950442,0.0458692297113261,-2.85530546721715,38.3792381263817,2.42031227417322e-05,0.000532982899012063
known:OW982309.1_35350,7.36132547546571,-0.177056825720108,0.182837785652733,0.675502654895716,0.862747019167572,0.0792003449864656,0.0648427387513705,0.802731825019989,0.911893966983291,-0.0978564807336426,0.054500529745603,0.818815780217897,0.877071448375692
