#miRNA	read_count	precursor	total	seq	seq(norm)
gga-miR-1592	0.00	gga-mir-1592	0.00	0	0
gga-miR-1593	0.00	gga-mir-1593	0.00	0	0
gga-miR-1594	2.00	gga-mir-1594	2.00	2.00	0.26
gga-miR-1595-5p	2.00	gga-mir-1595	2.00	2.00	0.26
gga-miR-1596-5p	0.00	gga-mir-1596	0.00	0	0
gga-miR-1597-5p	0.00	gga-mir-1597	0.00	0	0
gga-miR-1598	0.00	gga-mir-1598	0.00	0	0
gga-miR-15a	1713.00	gga-mir-15a	1713.00	1713.00	223.95
gga-miR-15b-5p	2879.00	gga-mir-15b	2879.00	2879.00	376.38
gga-miR-15c-5p	336.00	gga-mir-15c	336.00	336.00	43.93
gga-miR-16-5p	19995.00	gga-mir-16-1	19995.00	19995.00	2614.03
gga-miR-16-5p	19995.00	gga-mir-16-2	19995.00	19995.00	2614.03
gga-miR-1604	0.00	gga-mir-1604	0.00	0	0
gga-miR-1605	0.00	gga-mir-1605	0.00	0	0
gga-miR-1607	3.00	gga-mir-1607	3.00	3.00	0.39
gga-miR-1608	0.00	gga-mir-1608	0.00	0	0
gga-miR-1609	0.00	gga-mir-1609	0.00	0	0
gga-miR-1614-5p	0.00	gga-mir-1614	0.00	0	0
gga-miR-1618-5p	0.00	gga-mir-1618	0.00	0	0
gga-miR-1621-5p	0.00	gga-mir-1621	0.00	0	0
gga-miR-1623	18.00	gga-mir-1623	18.00	18.00	2.35
gga-miR-1625-5p	1.00	gga-mir-1625	1.00	1.00	0.13
gga-miR-1626-5p	0.00	gga-mir-1626	0.00	0	0
gga-miR-1627-5p	0.00	gga-mir-1627	0.00	0	0
gga-miR-1629	0.00	gga-mir-1629	0.00	0	0
gga-miR-1630	0.00	gga-mir-1630	0.00	0	0
gga-miR-1631	0.00	gga-mir-1631	0.00	0	0
gga-miR-1632-5p	0.00	gga-mir-1632	0.00	0	0
gga-miR-1633	0.00	gga-mir-1633	0.00	0	0
gga-miR-1635	0.00	gga-mir-1635	0.00	0	0
gga-miR-1637	0.00	gga-mir-1637	0.00	0	0
gga-miR-1638	0.00	gga-mir-1638	0.00	0	0
gga-miR-1641	7.00	gga-mir-1641	7.00	7.00	0.92
gga-miR-1642	0.00	gga-mir-1642	0.00	0	0
gga-miR-1643-5p	0.00	gga-mir-1643	0.00	0	0
gga-miR-1646	0.00	gga-mir-1646	0.00	0	0
gga-miR-1647	0.00	gga-mir-1647	0.00	0	0
gga-miR-1648-5p	8.00	gga-mir-1648	8.00	8.00	1.05
gga-miR-1649-5p	0.00	gga-mir-1649	0.00	0	0
gga-miR-1651-5p	0.00	gga-mir-1651	0.00	0	0
gga-miR-1654	3.00	gga-mir-1654	3.00	3.00	0.39
gga-miR-1655-5p	55.00	gga-mir-1655	55.00	55.00	7.19
gga-miR-1656	0.00	gga-mir-1656	0.00	0	0
gga-miR-1658-5p	0.00	gga-mir-1658	0.00	0	0
gga-miR-1660	0.00	gga-mir-1660	0.00	0	0
gga-miR-1661	1.00	gga-mir-1661	1.00	1.00	0.13
gga-miR-1662	0.00	gga-mir-1662	0.00	0	0
gga-miR-1663-5p	0.00	gga-mir-1663	0.00	0	0
gga-miR-1664-5p	11.00	gga-mir-1664	11.00	11.00	1.44
gga-miR-1665	0.00	gga-mir-1665	0.00	0	0
gga-miR-1666	0.00	gga-mir-1666	0.00	0	0
gga-miR-1667-5p	0.00	gga-mir-1667	0.00	0	0
gga-miR-1668-5p	0.00	gga-mir-1668	0.00	0	0
gga-miR-1670	0.00	gga-mir-1670	0.00	0	0
gga-miR-1671	0.00	gga-mir-1671	0.00	0	0
gga-miR-1672	0.00	gga-mir-1672	0.00	0	0
gga-miR-1674	24.00	gga-mir-1674	24.00	24.00	3.14
gga-miR-1676-5p	304.00	gga-mir-1676	304.00	304.00	39.74
gga-miR-1677-5p	401.00	gga-mir-1677	401.00	401.00	52.42
gga-miR-1679	0.00	gga-mir-1679	0.00	0	0
gga-miR-1680-5p	0.00	gga-mir-1680	0.00	0	0
gga-miR-1684a-5p	0.00	gga-mir-1684a	0.00	0	0
gga-miR-1684a-5p	0.00	gga-mir-1684b	0.00	0	0
gga-miR-1685-5p	0.00	gga-mir-1685	0.00	0	0
gga-miR-1687-5p	0.00	gga-mir-1687	0.00	0	0
gga-miR-1689-5p	0.00	gga-mir-1689	0.00	0	0
gga-miR-1690-5p	0.00	gga-mir-1690	0.00	0	0
gga-miR-1692	0.00	gga-mir-1692	0.00	0	0
gga-miR-1693	0.00	gga-mir-1693	0.00	0	0
gga-miR-1695	1.00	gga-mir-1695	1.00	1.00	0.13
gga-miR-1696	0.00	gga-mir-1696	0.00	0	0
gga-miR-16c-5p	461.00	gga-mir-16c	461.00	461.00	60.27
gga-miR-17-5p	28704.00	gga-mir-17	28704.00	28704.00	3752.59
gga-miR-1701	2.00	gga-mir-1701	2.00	2.00	0.26
gga-miR-1703-5p	0.00	gga-mir-1703	0.00	0	0
gga-miR-1704	0.00	gga-mir-1704	0.00	0	0
gga-miR-1708	0.00	gga-mir-1708	0.00	0	0
gga-miR-1709	0.00	gga-mir-1709	0.00	0	0
gga-miR-1710	0.00	gga-mir-1710	0.00	0	0
gga-miR-1711	6.00	gga-mir-1711	6.00	6.00	0.78
gga-miR-1712-5p	3.00	gga-mir-1712	3.00	3.00	0.39
gga-miR-1714	0.00	gga-mir-1714	0.00	0	0
gga-miR-1715-5p	0.00	gga-mir-1715	0.00	0	0
gga-miR-1716	3.00	gga-mir-1716	3.00	3.00	0.39
gga-miR-1717	0.00	gga-mir-1717	0.00	0	0
gga-miR-1719	0.00	gga-mir-1719	0.00	0	0
gga-miR-1720-5p	0.00	gga-mir-1720	0.00	0	0
gga-miR-1722-5p	0.00	gga-mir-1722	0.00	0	0
gga-miR-1724	0.00	gga-mir-1724	0.00	0	0
gga-miR-1727	0.00	gga-mir-1727	0.00	0	0
gga-miR-1728-5p	0.00	gga-mir-1728	0.00	0	0
gga-miR-1729-5p	712.00	gga-mir-1729	712.00	712.00	93.08
gga-miR-1730-5p	0.00	gga-mir-1730	0.00	0	0
gga-miR-1731-5p	0.00	gga-mir-1731	0.00	0	0
gga-miR-1734	2.00	gga-mir-1734	2.00	2.00	0.26
gga-miR-1735	2.00	gga-mir-1735	2.00	2.00	0.26
gga-miR-1736-5p	0.00	gga-mir-1736	0.00	0	0
gga-miR-1737	0.00	gga-mir-1737	0.00	0	0
gga-miR-1738	0.00	gga-mir-1738	0.00	0	0
gga-miR-1740-5p	0.00	gga-mir-1740	0.00	0	0
gga-miR-1743	0.00	gga-mir-1743	0.00	0	0
gga-miR-1744-5p	0.00	gga-mir-1744	0.00	0	0
gga-miR-1745	0.00	gga-mir-1745	0.00	0	0
gga-miR-1747-5p	0.00	gga-mir-1747	0.00	0	0
gga-miR-1749-5p	1.00	gga-mir-1749	1.00	1.00	0.13
gga-miR-1750	0.00	gga-mir-1750	0.00	0	0
gga-miR-1751-5p	0.00	gga-mir-1751	0.00	0	0
gga-miR-1753	0.00	gga-mir-1753	0.00	0	0
gga-miR-1754-5p	0.00	gga-mir-1754	0.00	0	0
gga-miR-1755	0.00	gga-mir-1755	0.00	0	0
gga-miR-1759-5p	1.00	gga-mir-1759	1.00	1.00	0.13
gga-miR-1761	0.00	gga-mir-1761	0.00	0	0
gga-miR-1762	0.00	gga-mir-1762	0.00	0	0
gga-miR-1763b-5p	0.00	gga-mir-1763b	0.00	0	0
gga-miR-1763b-3p	0.00	gga-mir-1763b	0.00	0	0
gga-miR-1764-5p	0.00	gga-mir-1764	0.00	0	0
gga-miR-1765	0.00	gga-mir-1765	0.00	0	0
gga-miR-1766	0.00	gga-mir-1766	0.00	0	0
gga-miR-1767	0.00	gga-mir-1767	0.00	0	0
gga-miR-1769-5p	17.00	gga-mir-1769	17.00	17.00	2.22
gga-miR-1772-5p	0.00	gga-mir-1772	0.00	0	0
gga-miR-1773-5p	1.00	gga-mir-1773	1.00	1.00	0.13
gga-miR-1775-5p	0.00	gga-mir-1775	0.00	0	0
gga-miR-1776	0.00	gga-mir-1776	0.00	0	0
gga-miR-1777	6.00	gga-mir-1777	6.00	6.00	0.78
gga-miR-1778	1.00	gga-mir-1778	1.00	1.00	0.13
gga-miR-1781-5p	0.00	gga-mir-1781	0.00	0	0
gga-miR-1783	0.00	gga-mir-1783	0.00	0	0
gga-miR-1784-5p	0.00	gga-mir-1784	0.00	0	0
gga-miR-1784b-5p	0.00	gga-mir-1784b	0.00	0	0
gga-miR-1784b-3p	0.00	gga-mir-1784b	0.00	0	0
gga-miR-1785	0.00	gga-mir-1785	0.00	0	0
gga-miR-1788-5p	1.00	gga-mir-1788	1.00	1.00	0.13
gga-miR-1791-5p	0.00	gga-mir-1791	0.00	0	0
gga-miR-1792	0.00	gga-mir-1792	0.00	0	0
gga-miR-1793	0.00	gga-mir-1793	0.00	0	0
gga-miR-1795	0.00	gga-mir-1795	0.00	0	0
gga-miR-1796	1.00	gga-mir-1796	1.00	1.00	0.13
gga-miR-1798-5p	0.00	gga-mir-1798	0.00	0	0
gga-miR-1800	0.00	gga-mir-1800	0.00	0	0
gga-miR-1801	0.00	gga-mir-1801	0.00	0	0
gga-miR-1802	0.00	gga-mir-1802	0.00	0	0
gga-miR-1805-5p	0.00	gga-mir-1805	0.00	0	0
gga-miR-1808	0.00	gga-mir-1808	0.00	0	0
gga-miR-1809	0.00	gga-mir-1809	0.00	0	0
gga-miR-1811	0.00	gga-mir-1811	0.00	0	0
gga-miR-1812-5p	0.00	gga-mir-1812	0.00	0	0
gga-miR-1813	0.00	gga-mir-1813-2	0.00	0	0
gga-miR-1814	1.00	gga-mir-1814	1.00	1.00	0.13
gga-miR-1815	0.00	gga-mir-1815	0.00	0	0
gga-miR-1816	0.00	gga-mir-1816	0.00	0	0
gga-miR-181a-5p	4749.00	gga-mir-181a-1	4749.00	4749.00	620.86
gga-miR-181a-5p	4788.00	gga-mir-181a-2	4788.00	4788.00	625.96
gga-miR-181b-5p	4233.00	gga-mir-181b-1	4233.00	4233.00	553.40
gga-miR-181b-5p	4369.00	gga-mir-181b-2	4369.00	4369.00	571.18
gga-miR-182-5p	1.00	gga-mir-182	1.00	1.00	0.13
gga-miR-183	28.00	gga-mir-183	28.00	28.00	3.66
