,NCT_48_38_33_101_smRNA_S34,NCT_48_38_33_102_smRNA_S35,NCT_48_38_38_61_smRNA_S45,NCT_48_38_38_62_smRNA_S46,NCT_48_38_43_51_smRNA_S32,NCT_48_38_43_52_smRNA_S33,RBC2_48_38_33_101_smRNA_S27,RBC2_48_38_33_102_smRNA_S28,RBC2_48_38_38_12_smRNA_S38,RBC2_48_38_38_14_smRNA_S39,RBC2_48_38_43_22_smRNA_S40,RBC2_48_38_43_24_smRNA_S41
known:OW982296.1_20356,5.62188038366894,5.04391199573671,6.90404484046934,5.86375720702439,4.80163461623819,6.38800234232211,4.81089992076025,4.38337244459844,6.55120084298452,6.14206724677453,6.28932309175733,6.5132430460891
known:OW982297.1_20558,6.15599073339634,7.02837441527586,5.67172802883672,6.72037430845455,5.90137080483114,6.38800234232211,7.07873453524558,6.97607000413364,7.30208005477745,6.50928136710696,6.80367222720907,6.5132430460891
novel:OW982297.1_22048,5.10998548783128,3.59510652024623,3.67352285587634,5.70959099290234,3.27367969038366,4.18760935132265,4.81089992076025,4.97143394723268,5.11565276732705,4.89149219804356,3.48644162662727,5.52234747829712
known:OW982297.1_22176,9.0424607083882,8.86112163095239,8.41537973695047,9.06683641287495,7.77596750871986,9.12905878331265,8.92811907725649,9.02163249267534,9.2315297157464,8.81819695275407,9.12780253622486,8.84218311492108
novel:OW982297.1_22208,5.99894779568918,6.35342344206361,6.20759512980742,6.35473149737486,5.78702366012745,6.05039787405529,7.07873453524558,7.24935448643007,6.30382373903063,7.3998783280396,5.48252811098159,5.65819991856283
known:OW982297.1_22209,10.4762941692334,10.5999452274957,10.9152710018277,10.2326367406515,10.3120600023126,9.96741216632996,10.6680695404316,10.5773977770558,10.2721005033698,10.4858058027894,9.86734220474811,10.2217704848963
known:OW982297.1_22337,7.10328044959786,6.86550040971901,5.67172802883672,7.41249953307461,7.91857640699085,7.34324517661369,6.59880924355286,6.19735995291713,6.21094666672315,6.37339618552626,7.55348201492555,7.23210664131239
known:OW982297.1_21451,10.7471334346397,10.6570930875348,10.7001586860794,10.6048194861469,10.0460488962918,10.6395592884092,10.3840830259247,10.3754969152269,10.5148415819305,10.5541832951225,10.7556861242753,10.6825063088061
known:OW982298.1_23877,8.65200151415426,8.70125270553534,8.28003667570083,8.95118315193323,4.80163461623819,6.99360516941651,9.35630258438211,9.00698190316726,8.5864529582413,8.2671801174413,7.18206320053955,7.31667841124206
novel:OW982298.1_24178,5.99894779568918,6.58047530822574,7.43684013825153,6.79894213685244,7.68310471934819,6.59774805680215,6.35092654610775,5.71087395889823,7.00292234868638,7.32817637471411,7.0556517060399,6.19359645136487
known:OW982298.1_24281,5.10998548783128,5.75203334677251,5.43736841509405,5.70959099290234,3.27367969038366,4.18760935132265,6.59880924355286,6.47793490451274,7.6939820038293,7.13158623952535,6.3444366431801,6.88964546201348
known:OW982298.1_24282,5.10998548783128,5.75203334677251,5.15741139661886,5.70959099290234,3.27367969038366,4.18760935132265,6.35092654610775,6.29707207870117,7.65924901719152,7.13158623952535,6.17234677340774,6.83334333952071
novel:OW982298.1_24345,8.72903790073383,8.92456162312069,8.56845006873897,8.53538254906443,9.27607204008812,8.58936630782092,8.92811907725649,8.86796731117723,9.01511205360227,8.85692944215682,9.04703960140213,9.56695733866309
novel:OW982298.1_24470,6.15599073339634,2.35517773020438,6.90404484046934,6.2467511289448,7.23707975784096,5.95202492865301,4.81089992076025,5.3880184547167,6.47336143716952,6.85373066934711,5.66679592046525,5.3723598130583
known:OW982298.1_23371,5.10998548783128,5.75203334677251,6.05010149594046,6.13003022481895,2.35517773020438,5.60884850625078,5.87459956190021,6.47793490451274,4.89458334683815,6.14206724677453,5.66679592046525,6.1012467459539
known:OW982298.1_24494,10.590799521932,10.9079002454436,9.77550073557047,9.81728536406598,9.84639328767396,9.35759473466421,10.5625463017177,10.6019779471133,10.1647602960785,9.85533792619839,9.31879728828396,9.34330897449366
known:OW982298.1_23475,8.36071012286424,8.21808747517594,9.87279566613728,9.09824601088365,10.3578437594607,9.36716988816117,7.56021880989839,7.24935448643007,8.77669563604558,8.8312236652571,9.38601157309679,9.50522926213302
known:OW982298.1_23583,10.5203055109431,10.4713103631526,10.4233648468106,10.5028866440025,9.902393767114,10.6862058126991,10.4086514544126,10.2126648343365,10.3826895573415,10.3922156876613,10.6746703288493,10.7825392468026
known:OW982299.1_26062,8.39263249574621,7.78873583043033,7.49911697460534,8.20116475919343,9.11949661440891,8.68434467564015,8.41679967049605,7.91540716612598,8.30120742171275,7.82146109979118,8.591796614955,8.22932940785642
known:OW982299.1_25336,12.8978137949109,13.0376577145057,13.348499474473,12.8230911495534,12.0282727743889,12.3788149872213,12.9209757762555,12.8541027644361,12.7329166083954,13.0210071685635,12.4814875933856,12.406308066956
novel:OW982299.1_26240,5.38851855218823,4.70159748871608,7.07734759726694,6.2467511289448,8.86147043850782,7.34324517661369,2.35517773020438,3.37403529640553,5.476456956206,4.42580786809393,7.4058383562902,7.43490970266613
known:OW982300.1_28198,11.9412203298808,12.1511173998696,12.5482650801922,12.1174037438671,13.6271956848304,12.6722597079521,11.6589888823753,11.6917988548911,11.8721603571078,12.1734364032875,12.1378215774608,12.3115998383651
known:OW982300.1_27483,8.65200151415426,8.8172234932811,8.20728541117414,8.60263552105629,10.2432522980095,8.99960471679704,8.54052946708481,8.69596200329387,8.38861891516523,8.35999025487708,8.98768896101648,9.0039575422839
known:OW982300.1_28199,12.7730026110155,12.6411252105645,12.4551151049181,12.8716142556487,12.9613657557361,13.1031005505793,12.5330409502658,12.4893309248307,12.6256832840962,12.3489980180964,12.85981953965,12.6999474755333
known:OW982300.1_28277,9.97347009528187,9.98796190325926,9.71118134208253,10.2040487577419,10.3325879179589,10.3806051546268,9.72570948153878,9.74997599303182,10.0884897354253,9.82309754974122,10.3672390889818,10.4163829707931
known:OW982300.1_28279,10.142579040024,9.87473859325014,9.46818531988385,10.7000231506288,10.8601623501051,10.7823788670662,9.48510133646056,9.52166833394822,10.0950019032242,9.62040342340941,10.3095480258709,10.4211660119452
known:OW982300.1_28718,8.70381341950383,9.04364004629279,8.34929473626782,9.21746238812856,9.73514691716719,8.39712146694085,9.01602335494499,8.45818655563476,8.5864529582413,8.46401366185163,8.66939150572909,8.55940522864979
novel:OW982300.1_27993,4.30930458591999,2.35517773020438,2.35517773020439,2.35517773020438,6.10601172272843,5.32424813888509,2.35517773020438,4.70716073934182,3.90381053709367,4.12093558131704,5.75079510937551,5.52234747829712
novel:OW982301.1_28870,3.64052474178002,5.04391199573671,6.20759512980742,5.34082263729168,6.10601172272843,4.49764268938669,4.35177778567358,5.19471057637358,4.63339910631704,5.52538367273696,5.66679592046525,5.20495014397653
known:OW982301.1_29999,11.0063603227904,11.2301063678177,10.8330336678444,10.9952259826373,10.4732734445064,11.2696741819732,11.4656945295577,11.1441077853166,11.0752489382778,11.1322550663502,11.3409197160585,11.1569327055369
