,NCT_72_33_32_smRNA_S31,NCT_72_33_53_smRNA_S44,NCT_72_38_71_smRNA_S47,NCT_72_38_73_smRNA_S48,NCT_72_43_21_smRNA_S29,NCT_72_43_22_smRNA_S30,RBC2_72_38_11_smRNA_S25,RBC2_72_38_12_smRNA_S26,RBC2_72_43_41_smRNA_S42,RBC2_72_43_42_smRNA_S43
novel:OW982291.1_6861,4.37070739095092,1.98428374255877,3.65753245049179,3.03898315731476,4.69317745217149,3.88419071189312,1.98428374255877,2.86649072441154,4.21183999590118,3.49726023905537
known:OW982291.1_6991,11.2697164084343,11.1009279954928,10.5941971302759,11.0830026865789,11.4061189331717,11.3412710597018,11.2057810070335,11.2304438668192,11.381191041497,11.2544603460628
known:OW982291.1_6993,8.27935033726881,8.26730760706661,8.5226888374439,9.24070225599785,9.57667323952114,8.98977649183433,8.83346035876899,9.12352814525928,9.44339972738825,8.95256839906943
novel:OW982291.1_7006,4.71506024063518,4.64837967371631,5.09908698236521,5.07868831684537,6.39752148472311,6.24826526294633,5.4703342417471,4.9376500046875,6.04211953917357,5.58406511138071
novel:OW982291.1_7260,1.98428374255877,1.98428374255877,3.05099971697583,1.98428374255877,4.21452793896735,5.0347930142393,2.99898486718363,3.80377960269855,5.5752689198612,5.96904260881428
novel:OW982292.1_10364,6.85171773583711,5.65605942642612,6.10694797419509,6.40842797827581,5.96326053728341,6.49872989342759,5.4703342417471,6.39276648365493,6.1197611436641,5.34463573838801
known:OW982292.1_10416,12.8661271983341,12.9335550298301,12.6911690093655,12.5355894355296,12.5063446993234,12.6630811770511,12.8240932068693,12.8164930841795,12.7827580045087,12.7938333076838
novel:OW982292.1_8715,7.51113586221311,8.03145694449496,7.91989178116672,7.25873132361414,5.46369130935329,4.67666242355153,8.03545991229171,7.91186471187211,5.68150709815864,6.20250956728199
known:OW982292.1_8979,6.9197516560512,7.72076250810133,6.81039978198392,6.25584769853227,5.57840250298194,5.18523905352547,6.40447544305024,6.2733982644381,7.07812275372218,6.52330542526447
known:OW982292.1_8980,6.9197516560512,7.72076250810133,6.75362366812513,6.25584769853227,5.57840250298194,5.18523905352547,6.40447544305024,6.2733982644381,7.07812275372218,6.52330542526447
known:OW982292.1_9046,12.4376314122331,12.49229691296,12.5102078797766,12.3735310869301,12.7314405961132,12.6404641172426,12.3522517165455,12.2491662320367,12.679973125699,12.6079934608373
